PWK	C57	AJ	129	WSB	CAS	NZO	NOD
208	1.01	1.21	0.9	0.85	0.89	0.82	0.68	1.05
209	1	1.21	1.12	1.04	1.22	1.09	0.9	1.04
210	1.14	1.2	1.19	1	1.05	1.07	1.21	1.02
211	1.2	0.84	1.06	1.09	0.85	0.81	1.17	1.23
212	1.02	0.84	1.02	1.09	0.94	0.94	1.21	0.99
213	0.99	0.84	0.99	1.08	0.92	0.71	1.05	1.06
214	1.09	0.84	1.29	1.27	1.35	0.92	1.25	1.11
215	1.01	1.2	1.08	1.47	2.44	2.32	1.26	0.7
216	1.02	1.2	1.23	1.17	1.02	0.97	1.06	1.14
217	0.84	0.84	0.93	0.87	0.94	0.88	0.81	1.08
218	0.99	1.2	1.12	1.06	1.08	1	0.91	1.06
219	0.9	1.2	1.1	0.97	0.9	0.8	1.22	0.83
220	1.1	0.84	0.84	1.02	1.03	0.88	1.04	1.18
221	0.95	0.84	1.16	1.18	1.04	0.92	1.17	0.88
222	1.16	0.84	0.93	1.2	0.91	0.85	2.61	1.08
223	1.48	1.2	1.12	1.29	1.15	1.4	1.73	1.32
224	1.23	1.2	0.99	1.24	0.86	0.8	0.89	1.35
225	0.96	0.85	1.2	1.19	1.04	0.92	1.16	0.89
226	1.2	1.2	1	1.05	0.96	1.06	0.96	1.1
227	1.04	0.85	0.99	1.16	1	0.95	1.38	0.99
228	1.08	1.2	1.13	1.39	0.74	0.89	1.41	1.06
229	0.95	0.85	0.94	0.96	1.08	1.02	0.96	0.93
230	1	1.2	1.08	0.97	1	1.08	1.37	1.04
231	1.04	0.85	1.1	0.99	0.97	0.97	0.96	1.04
232	1.92	1.2	1.71	1.12	1.48	1.46	2.08	1.1
233	1.14	1.2	0.95	1.06	1.02	1	1.31	1.07
234	0.99	1.2	1.04	0.98	1.04	1.14	1.13	0.96
235	0.97	0.85	0.94	0.82	0.78	0.97	0.89	1.2
236	0.98	1.2	1.01	1.04	1.17	1.05	1.11	0.89
237	0.84	1.2	1.12	1.01	1.13	1.07	1.02	0.97
238	1.28	0.85	1.29	1.15	0.96	1.07	1.07	1.12
