PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Ociad2	0.21	0.3	0.33	0.52	0.32	0.21	0.29	0.44
Pcmt1	0	0.29	0.24	0.16	0.01	0.17	0.22	0.08
Anp32a	0.12	-0.28	0.04	-0.02	-0.35	-0.34	0	0.12
Rgcc	-0.06	0.29	-0.06	-0.15	0.01	-0.27	-0.1	-0.08
Rad50	-0.2	-0.28	-0.12	0.2	0.01	0.01	0.1	0
Abcd3	0.06	0.29	0.15	0.01	0.18	-0.03	-0.03	0.16
Edc4	0.41	-0.28	0.05	-0.05	-0.29	0.07	-0.05	-0.03
Gcdh	0.13	0.29	-0.06	0.05	-0.07	-0.01	-0.27	0.06
Cand2	-0.01	-0.27	0.06	0.06	0.02	-0.13	-0.01	-0.3
Wasl	-0.05	-0.27	-0.09	0.03	0.02	0	-0.22	-0.06
Bptf	-0.11	-0.27	-0.53	0.06	-0.11	0.02	0.1	-0.11
Mrps22	0.25	-0.27	0.03	0.21	-0.16	-0.03	-0.03	0.17
Dip2b	-0.27	-0.27	0.1	-0.19	0.26	0.16	-0.01	0.05
Mtm1	0.34	0.28	0.27	0.13	0.04	-0.02	0.06	0.02
Coq8a	0.05	-0.27	-0.02	0.09	0.02	-0.03	-0.53	0.14
Esyt2	0.13	0.28	0.42	-0.17	-0.08	-0.03	-0.22	0
Hspa1b	0.18	0.28	0.14	0.31	-0.51	0.25	1.58	-0.08
Rrs1	-0.07	0.28	-0.01	-0.26	0.15	0.31	-0.57	-0.12
Atp5mc3	0.4	0.28	0.49	0.86	-0.05	-0.27	1.18	-0.19
Bnip3	-0.37	-0.26	-0.04	0.14	-0.1	0.77	0.52	-0.03
Nol3	-0.62	-0.26	0.03	0.64	-0.16	0.28	-0.1	0.14
Rrp12	0.12	0.28	0.14	-0.25	0.14	0.45	0.22	0.12
Dach1	-0.03	0.28	0.05	-0.02	0.08	0.23	-0.38	-0.09
Myot	-0.11	0.28	0.09	0.16	0.35	0.1	0.43	-0.13
Sucla2	0.36	0.28	0.07	0.16	-0.33	-0.16	-0.24	0.33
Slc25a42	0.15	0.28	0.21	0.09	-0.03	0.14	0.06	0.17
Atp5f1e	0.52	0.28	0.61	0.91	0.01	-0.24	1.5	-0.32
Ckm	0.04	0.28	0.28	0.08	-0.4	0.78	0.49	0.28
Mtatp6	-0.79	0.28	0.51	0.84	0.22	0.28	1.01	0.07
Mtco2	0.14	-0.26	0.44	0.37	0.09	-0.17	0.45	-0.18
Ndufa4	0.2	-0.26	0.07	0.13	-0.03	-0.05	-0.05	0.11
Slc2a4	0.14	-0.25	0.15	-0.12	-0.16	-0.08	0.26	0.13
Ppp1cc	-0.21	0.27	-0.43	0	-0.11	-0.06	0.18	0.05
Ehd3	0.19	0.27	0.21	-0.37	-0.05	-0.08	-0.03	-0.15
Aak1	0.09	-0.25	0.04	-0.06	-0.41	0.02	0.01	-0.08
Bag6	0.25	0.27	0.61	-0.18	0.12	-0.81	-0.23	0.11
Ppp2r5a	0.25	0.27	0.3	-0.01	-0.37	0.02	0.31	0.3
Nt5dc3	0.12	-0.25	0.15	0.16	-0.03	-0.03	0.02	0.17
