PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Mapk10	0.12	-0.08	-0.28	0.3	0.26	-0.12	-0.32	-0.03
Mospd1	-0.08	-0.08	0.06	0.11	0.14	-0.07	0.13	-0.03
Mrps26	0.26	-0.08	0.24	0.09	-0.08	0.03	0.22	0.13
Hacd2	-0.15	0.12	-0.2	-0.33	0.06	0.12	-0.6	-0.12
Dap3	0.04	-0.08	0.23	-0.04	-0.01	-0.09	0.11	0.13
Pelo	0.09	-0.08	0.08	0.04	0.07	0	0	-0.06
Cav2	0.15	0.12	0.29	0.04	0.04	-0.03	0.04	0.06
Zfp326	-0.21	0.12	-0.29	-0.16	0.02	0.1	-0.24	0.09
Myh14	-0.02	0.12	-0.02	-0.07	-0.04	-0.08	-0.21	0.07
Cald1	0.08	-0.08	-0.27	0.18	-0.21	-0.04	-0.1	-0.02
Ywhab	-0.2	-0.08	-0.16	0.11	-0.11	0.03	-0.2	-0.08
Slc4a3	0.16	0.12	0.15	0.05	0.12	0.02	0.09	0
Dctn3	-0.12	0.12	0.07	-0.08	0.08	0.1	0.3	-0.06
Cryab	0.12	0.12	0.05	-0.06	0.01	0.08	0.61	0.22
Ipo7	-0.13	0.12	-0.18	-0.12	0.14	-0.02	-0.11	-0.12
Pnkp	-0.05	-0.08	0.03	-0.1	-0.03	0.02	-0.05	-0.03
Gtpbp1	0.03	-0.08	-0.06	-0.1	-0.2	-0.06	-0.05	0.19
Cbx5	-0.39	-0.08	-0.26	-0.3	-0.08	-0.08	-0.44	-0.05
Vti1b	0.07	-0.08	0.24	0.13	-0.15	0.17	0.03	0.02
Rhot1	-0.04	-0.08	0.04	-0.03	-0.05	-0.05	0.01	-0.09
Krt19	0.17	-0.08	0.01	-0.43	-0.21	0.59	0.02	0.08
Vasp	0.13	0.12	-0.08	0.18	-0.19	-0.04	0.13	-0.06
Sf1	-0.11	-0.08	-0.15	-0.19	0.06	-0.1	-0.23	-0.04
Flnb	0.03	-0.08	-0.14	0	-0.09	-0.04	-0.07	-0.01
H2afz	-0.08	0.12	-0.28	-0.3	0.05	0	-0.21	-0.07
Actn4	0.03	-0.08	-0.12	-0.1	-0.03	-0.11	-0.07	0.06
Dnajb4	-0.09	0.12	0.05	-0.14	0.14	0.16	0.29	-0.02
Msra	-0.29	0.12	-0.02	-0.36	0.09	-0.12	0.16	-0.16
Sp110	0.18	0.12	0.2	-0.24	-0.01	0.29	0.19	0.02
Thoc1	-0.02	-0.08	-0.11	-0.12	0.06	0.07	-0.18	-0.04
Hist2h2be	-0.32	0.12	-0.23	-0.09	0.03	-0.36	-0.34	-0.04
Dysf	0.11	0.12	0.22	-0.04	0.04	-0.01	0.16	0.15
Eif2s2	-0.1	0.12	-0.1	-0.18	-0.13	0.16	0.07	0.03
Rcc1	-0.15	0.12	-0.32	-0.17	0.14	0.09	-0.06	-0.15
Ap2a1	0	-0.08	-0.01	-0.09	-0.07	-0.04	-0.03	-0.01
Nras	-0.01	0.12	0.18	-0.09	-0.01	-0.08	0.03	0.06
Srsf11	0.06	0.12	-0.17	-0.3	0.09	-0.03	-0.05	0.11
Nxf1	-0.21	-0.08	0.73	-0.22	0.16	0.05	-0.12	-0.17
Sh3bgr	-0.1	0.12	-0.01	-0.17	0.39	0.14	0.01	-0.24
Myh7b	0.09	-0.08	-0.07	0	-0.19	0.08	-0.11	-0.1
Rps17	-0.03	-0.08	-0.05	-0.12	-0.04	-0.15	0.1	0.02
Ncoa5	-0.1	0.12	-0.04	-0.13	0.04	0.1	-0.25	-0.01
Cttnbp2nl	-0.28	0.12	-0.18	-0.35	0.12	-0.22	-0.17	0.05
Pln	-0.01	-0.08	0.35	-0.1	-0.06	0.13	0.23	0.07
Clasp1	-0.06	0.12	-0.07	-0.06	-0.03	0.02	-0.18	0.03
Spata5	0.18	0.12	-0.15	-0.21	0.19	0.13	-0.21	0.15
Agpat3	0.13	0.12	0.06	0.2	0.14	0.12	-0.06	0.08
Mpp6	-0.29	0.12	0.92	-0.06	0.16	-0.04	-0.18	-0.07
Sarnp	-0.14	-0.08	-0.12	-0.26	-0.04	0	-0.33	-0.1
Sept7	-0.03	-0.08	-0.21	-0.03	-0.1	-0.05	-0.17	0.01
Ran	-0.22	0.12	-0.35	-0.33	0.04	0.11	-0.32	-0.11
Metap2	0.12	0.12	-0.07	0.05	-0.23	-0.14	0.08	0.08
Dlg1	-0.06	-0.08	-0.03	-0.03	0	-0.08	-0.14	-0.06
Myo18a.1	-0.01	0.12	-0.07	-0.05	0.11	0.09	-0.23	-0.02
Mars	0.03	-0.08	0	-0.01	0.07	0.06	-0.15	-0.17
Tpm4	0.3	-0.08	0.06	0.38	-0.39	-0.08	0.22	0.31
Dsg2	-0.06	0.12	-0.11	-0.11	0.03	-0.06	-0.47	-0.04
Aspn	0.04	-0.08	-0.03	0.02	-0.29	0.05	-0.09	0.03
Pdha1	0.22	-0.08	0.34	0.37	-0.08	-0.12	0.81	-0.14
Nup188	-0.07	0.12	-0.07	-0.13	0.3	0.23	-0.09	-0.04
Snrpn	-0.1	0.12	-0.05	-0.19	0.17	0.15	-0.08	-0.01
Tarsl2	0.06	-0.08	-0.03	0.02	0.11	-0.07	-0.44	-0.17
Mef2d	0.03	0.12	-0.2	-0.36	0.36	0.19	-0.48	-0.17
Rras2	0.14	-0.08	0.21	0.29	0.02	-0.27	0.86	-0.09
Csnk1a1	-0.02	0.12	0.08	-0.13	0.07	0.02	-0.06	-0.01
Xirp2	-0.13	0.12	0.06	0.09	0.15	0.09	0.56	-0.04
Cacna1c	-0.04	0.12	0.13	-0.08	0.08	-0.02	-0.16	0.05
Map1s	0	-0.07	-0.09	-0.04	-0.06	0.06	-0.08	0.07
Ddb1	-0.11	-0.07	-0.1	-0.11	-0.03	-0.02	-0.07	-0.02
Tead1	-0.16	0.12	-0.22	-0.2	-0.01	0.06	-0.3	-0.04
Vps16	-0.02	0.12	0.06	-0.11	-0.1	-0.08	-0.29	-0.05
Dctn2	-0.12	0.12	-0.02	-0.08	0.06	0.06	0.23	-0.07
Hmgb3	-0.2	-0.07	-0.27	-0.41	0	-0.09	-0.5	-0.19
Mob4	-0.03	0.12	0.06	-0.14	0.16	0.05	0.02	-0.13
Synm	0.02	-0.07	0.1	-0.01	-0.04	-0.04	-0.12	0.11
Klhl31	-0.02	0.12	0.02	0.01	0.13	0.06	0.01	-0.01
Abra	-0.11	0.12	0.2	0	-0.07	0.41	1.01	-0.08
Ezr	0.06	-0.07	-0.03	0.12	-0.04	-0.02	-0.21	0.03
Cct6a	0.05	-0.07	-0.13	-0.05	-0.17	-0.16	0.14	-0.06
Safb2	-0.15	0.12	-0.17	-0.2	-0.03	0.16	-0.3	-0.1
Hspb2	-0.13	-0.07	0.07	-0.09	0.04	0.05	0.12	-0.04
Rbm28	0.01	0.12	-0.24	-0.24	-0.02	0.37	-0.16	-0.07
Pcm1	-0.08	0.12	-0.17	-0.14	0.1	0.14	-0.27	-0.03
Mrpl3	0.18	-0.07	0.03	0.13	-0.16	-0.01	0.16	0.08
D8Ertd738e	-0.26	-0.07	-0.3	-0.52	0.02	-0.07	-0.38	-0.22
Vamp2	0.18	0.12	0.37	0.16	-0.02	-0.01	0.33	-0.08
Thoc2	0	0.12	-0.06	-0.11	0.02	0.11	-0.33	-0.1
Osbpl8	-0.22	0.11	0.08	0.2	-0.24	-0.1	0.05	0.07
NA..1	0.12	-0.07	0.13	0.08	0.08	0.1	0.08	0.71
Purb	-0.02	-0.07	-0.05	-0.13	0	-0.29	-0.12	0.04
Plbd1	0.13	0.11	-0.09	-0.06	0.35	-0.07	-0.22	0.17
Fbln5	0.22	-0.07	0.1	0.04	-0.43	-0.37	-0.29	0.11
Cnksr3	0	-0.07	0.38	0.03	0.2	-0.01	0.21	0.03
Eci1	0.24	0.11	-0.09	0.14	0.03	-0.03	-0.13	0.3
Eif4g1	-0.2	0.11	0.06	-0.23	-0.12	-0.03	-0.15	-0.14
Prkag1	0.05	-0.07	-0.03	-0.02	0.09	0.18	-0.22	0.03
Rbbp6	0.03	-0.07	-0.19	-0.17	-0.03	0.05	-0.26	-0.03
Psmd13	0.04	-0.07	0.17	-0.02	0.14	0.03	0	-0.17
Jup	-0.11	0.11	-0.05	-0.14	0.16	0.05	-0.33	-0.07
Cisd1	0	-0.07	0.27	0.28	-0.04	-0.14	0.52	-0.07
Smarcd3	-0.06	0.11	-0.13	-0.05	0.12	0.11	0	-0.01
Hsp90b1	0.18	-0.07	0	0.05	-0.49	-0.35	-0.01	-0.35
H1fx	-0.21	0.11	-0.27	-0.3	-0.13	-0.22	-0.14	0.04
Aqr	0.04	0.11	-0.11	-0.06	-0.06	0.25	-0.1	0.06
Tecr	0.09	0.11	-0.08	-0.09	0.02	-0.04	-0.3	0.06
Clip1	-0.39	-0.07	0.03	-0.38	0.02	-0.05	0.09	-0.17
Sltm	-0.07	0.11	-0.22	-0.25	0.09	0.18	-0.26	0.02
Cnot10	-0.02	0.11	0	-0.06	-0.12	-0.24	-0.17	-0.03
Col6a2	-0.02	-0.07	-0.14	0	-0.05	-0.03	-0.22	-0.08
Hspb1	0.16	0.11	0.17	-0.28	-0.22	0.07	0.48	0.31
Dnajc25	0.04	0.11	0.1	0.1	0.12	0.03	-0.07	0.05
Nfic	-0.09	0.11	-0.19	-0.25	0.05	0.07	-0.29	-0.13
Lpp	0.11	-0.07	0	-0.2	0.11	-0.07	0.1	0.01
Lrrc1	-0.19	-0.07	0.08	-0.14	-0.06	-0.08	0.09	-0.05
Vcl	-0.08	0.11	-0.01	-0.09	0.13	0.1	-0.19	-0.06
Brix1	0.15	-0.07	-0.19	-0.09	0.06	0.3	0.06	-0.02
Ampd3	-0.01	-0.07	-0.16	-0.04	-0.02	0.06	-0.1	0.09
Nfix	-0.22	0.11	-0.24	-0.73	-0.15	0.11	-0.62	-0.27
Aqp1	-0.1	0.11	0.02	-0.15	0.14	-0.27	-0.3	0.02
Sept2	-0.03	-0.07	-0.15	0	-0.1	-0.04	-0.03	0.05
Ola1	0.23	0.11	-0.09	-0.01	0.01	0.22	-0.34	0.05
Rps21	-0.08	-0.07	-0.04	-0.04	-0.1	-0.26	0.19	-0.02
Aifm1	0.07	-0.07	0.1	-0.07	0	-0.08	-0.07	0
Oxa1l	-0.04	-0.07	0.1	-0.03	0.05	0.03	0.12	0.12
Oard1	-0.19	-0.07	0.04	-0.22	-0.16	-0.08	-0.26	-0.04
Csnk1d	0.01	0.11	0	-0.18	-0.04	0.03	0	0.02
Prps1l3	-0.04	-0.07	-0.01	-0.4	-0.15	-0.29	-0.11	0.1
Ssr3	0.05	-0.07	0.12	-0.15	0.07	-0.01	-0.07	-0.07
Ddx5	-0.09	0.11	-0.13	-0.23	0.06	0.05	-0.22	-0.02
Cstf3	-0.08	0.11	-0.03	-0.13	0.13	-0.02	-0.21	0
Naa35	0.13	-0.07	0.01	-0.04	-0.03	-0.01	0.04	0.1
Rmdn3	-0.08	-0.07	0.17	0.04	-0.03	-0.12	0.15	-0.12
Nosip	-0.24	-0.07	-0.37	-0.1	-0.14	-0.2	-0.38	0.21
Sorbs2	0.1	0.11	0	0.06	0	0.18	0.05	0.07
Dnaja3	0.19	0.11	0.21	0.12	0	0.21	0.16	0.14
Mlip.1	-0.01	0.11	-0.11	-0.06	0.07	0.07	-0.12	-0.01
Serpinc1	-0.21	0.11	0.57	-0.18	-0.1	-0.04	0	0.04
Snrpd2	-0.05	0.11	-0.14	-0.24	0.08	0.12	-0.08	0.01
Rbbp4	-0.12	-0.07	-0.19	-0.16	0.02	0.12	-0.21	-0.08
Rpl35	-0.07	0.11	0.08	-0.08	0.04	0	0.09	-0.12
Ddx46	-0.13	0.11	-0.17	-0.14	-0.11	0.11	-0.22	0.09
Psma1	-0.05	-0.07	0.03	-0.17	0.06	-0.02	0.1	-0.19
Tra2b	-0.04	0.11	0	-0.2	-0.02	-0.02	-0.06	-0.08
Cyc1	0.21	-0.07	0.55	0.58	0.01	-0.27	0.85	-0.18
Cul2	-0.12	-0.07	0.28	0.02	0.2	-0.13	-0.02	-0.03
Ccdc127	-0.08	-0.07	0.24	-0.05	-0.01	0.01	-0.22	-0.04
Cpsf1	0.11	-0.07	0.33	0.16	0.06	0.04	0.29	-0.06
Echdc2	0.03	-0.07	0.1	0.11	0	0.1	-0.09	0.06
Snx18	0.02	-0.07	-0.02	-0.1	-0.44	-0.35	-0.06	0.01
Sorbs1.1	-0.05	0.11	-0.14	-0.17	0.2	0.19	-0.07	-0.12
Mrpl45	0.09	-0.07	0.04	0.14	-0.17	0.07	-0.06	0.03
Myl12a	0.08	0.11	-0.06	0.09	-0.15	-0.05	0.13	-0.08
Ap2b1	0.01	-0.07	0.05	-0.13	-0.08	-0.06	-0.03	-0.11
Yme1l1	-0.09	0.11	0.25	-0.08	0.04	0.15	0.25	-0.06
Hnrnph2	-0.05	0.11	-0.11	-0.23	0.05	-0.04	-0.13	0.02
Snrpb2	-0.03	0.11	-0.12	-0.3	0.03	0.09	-0.19	-0.02
Cacna2d1	0.21	0.11	0.17	0.13	-0.1	-0.28	0.58	-0.04
Seh1l	-0.13	0.11	-0.15	-0.19	-0.08	0.15	-0.12	-0.02
Hp1bp3	-0.16	0.11	-0.23	-0.28	-0.01	0.03	-0.32	-0.09
Itih5	-0.12	-0.06	-0.05	-0.03	-0.06	-0.31	-0.3	-0.09
Esrra	-0.03	-0.06	-0.02	0.4	0.1	0.02	0.07	0.12
Celf2	-0.1	-0.06	0.01	-0.18	0.06	0.03	-0.17	-0.01
Arhgap5	0.01	0.11	0.27	-0.05	-0.18	0	-0.2	0.01
Tpm3	0.28	0.11	0.14	0.1	-0.24	0.06	0.32	0.17
Sorbs1.2	-0.16	0.11	-0.07	-0.09	0.07	0.12	-0.19	-0.17
Pa2g4	-0.02	0.11	0.02	-0.02	0.02	-0.02	0.09	0.02
Fabp4	0.15	0.11	0.12	0.15	-0.01	-0.15	0	0.59
Taok1	-0.03	0.11	0.14	0.05	-0.03	0.04	-0.05	0.05
Col5a2	-0.03	-0.06	-0.32	0.02	-0.32	-0.33	-0.41	0.14
Ano10	0.17	-0.06	0.03	0.27	0.07	0.09	-0.14	-0.04
Rps15	-0.02	-0.06	0.01	-0.08	-0.04	-0.19	0.14	-0.07
Adipoq	0.09	-0.06	0.06	0.02	-0.27	-0.11	0	0.26
Engase	0	-0.06	-0.13	0.05	-0.09	-0.06	-0.12	0.05
Alb	-0.15	-0.06	0.03	0.08	-0.14	-0.38	-0.2	0.19
Fhod3	-0.06	0.11	-0.07	-0.12	0.16	-0.07	-0.38	-0.09
Mau2	-0.36	0.11	0.08	-0.4	0.11	0	-0.32	-0.18
Arpc5	0.06	-0.06	0.02	0.4	-0.2	-0.19	0.15	-0.02
Emilin1	0.01	-0.06	-0.18	-0.04	-0.28	-0.05	-0.05	-0.01
Otud4	-0.08	-0.06	-0.05	-0.11	0.06	-0.2	-0.2	0.02
Atp5j	0.26	-0.06	0.31	0.69	-0.12	-0.13	1.54	-0.12
Dcaf7	0.02	0.11	0.16	0.08	-0.05	0.04	0.01	0
Rbm10	-0.07	-0.06	-0.26	0.12	-0.07	-0.03	-0.12	0.04
Stau1	0.03	-0.06	0.06	-0.1	0.01	0.06	-0.16	-0.02
Apex1	-0.1	-0.06	-0.25	-0.31	-0.06	-0.04	-0.37	-0.08
Mecr	0.03	0.11	0.11	0.15	-0.03	-0.03	-0.01	0.03
Stau2	-0.01	-0.06	0.15	-0.03	0.03	0.1	-0.14	0.01
Vwa5a	0.11	-0.06	-0.1	0.26	-0.07	0.03	-0.2	-0.01
Gpx7	0.18	-0.06	-0.3	0.37	-0.07	-0.23	0.5	0.1
Tomm40	0	-0.06	0.34	0.39	0.05	-0.11	0.55	-0.14
Tmem88	-0.1	0.1	-0.09	-0.09	0.06	-0.02	0.02	0.06
Klhl41	0	-0.06	0.16	0.02	0.12	0.02	0.42	0.02
Srsf1	0.08	0.1	0.07	-0.14	-0.01	-0.06	0.15	0.07
Dhrs7c	-0.04	0.1	-0.09	-0.09	0.22	0.32	0.06	-0.1
Eif4b	-0.21	-0.06	0.04	-0.16	-0.21	-0.01	0.22	-0.03
Got1	-0.02	0.1	-0.08	0.11	-0.05	-0.11	-0.08	0.4
Eln	0.28	-0.06	-0.16	0.17	-0.23	-0.21	-0.15	0.51
Auh	0.1	-0.06	0.13	0.1	-0.03	0.21	-0.03	0.06
Hist1h1e	-0.08	0.1	-0.29	-0.3	0.05	0.1	-0.32	-0.13
Dctn1	-0.08	0.1	-0.03	-0.08	0.02	0.02	0.1	-0.06
Ndufaf4	0.16	-0.06	0.36	0.18	-0.11	-0.1	0.12	0.03
Maob	0.09	-0.06	0.28	0.26	-0.06	-0.01	-0.31	0.02
Pkp4	-0.08	0.1	-0.06	-0.14	0.05	0	-0.31	0.03
Ostc	-0.17	0.1	-0.38	-0.15	0.05	0.06	-0.16	-0.06
Shmt2	0.13	0.1	0.07	0.06	0	0.15	-0.04	0.19
Tpm3.1	0.35	-0.06	0.03	0.13	-0.25	0.08	0.36	0.27
Mrpl12	0.3	-0.06	0.13	0.21	-0.03	-0.06	0.45	0.06
Fus	-0.1	-0.06	-0.24	-0.29	-0.06	-0.07	-0.28	0.06
Ddx39b	-0.13	0.1	-0.2	-0.17	0.14	0.02	-0.27	-0.06
Tomm70	-0.02	-0.06	0.1	0.11	-0.16	-0.11	0.08	0.05
Uqcrq	0.23	-0.06	0.61	0.55	0.06	-0.23	0.96	-0.21
Gsk3b	-0.03	-0.06	-0.05	-0.01	0.12	-0.07	-0.11	0.02
Map2k4	0.17	0.1	0.01	0.15	0.05	-0.05	0.01	0.02
Srp72	-0.03	-0.06	0.07	0.01	-0.15	-0.2	0.03	0.12
Timm13	0.18	-0.06	-0.06	0.24	0.14	-0.07	-0.03	0.01
Tpm3.2	0.32	0.1	0.03	0.33	-0.36	-0.02	0.26	0.35
Pgm5	0.03	0.1	0.16	-0.02	0.18	0.01	0.26	0.03
Snrpe	-0.03	0.1	0.01	-0.13	0.07	0.16	-0.06	-0.01
Pex16	-0.24	0.1	0.17	-0.05	0.03	-0.11	0.2	0.06
Col5a3	-0.16	-0.06	0	-0.06	-0.02	-0.08	-0.3	0.16
Col1a2	0	-0.06	-0.13	-0.06	-0.38	-0.36	-0.62	0.21
Prpf3	-0.06	-0.06	-0.19	-0.04	-0.17	-0.02	-0.08	0.06
Coq10b	0.12	-0.06	-0.15	0.34	-0.11	0.14	-0.27	0.23
Cmas	-0.11	0.1	-0.23	-0.3	0	0.12	-0.19	-0.11
Crat	0.07	-0.06	0.04	0.18	0.05	-0.09	-0.35	0.08
Podxl	-0.02	0.1	0	-0.09	-0.01	0.01	0	0.02
Cyb5r1	0.23	-0.06	0.17	0.49	-0.04	-0.03	0.67	-0.12
Hacd1	-0.12	0.1	-0.05	-0.1	0.14	-0.03	-0.2	0.2
Eif3g	0.04	-0.06	0.16	-0.1	-0.03	-0.12	0.1	-0.06
Rbm17	0.07	0.1	-0.2	-0.15	-0.04	0.14	-0.08	0.07
Pcbp1	0.06	0.1	-0.01	-0.12	0.07	-0.08	-0.07	0.05
Rxrb	0.35	-0.06	-0.03	-0.11	0.21	0.17	0.11	0
Tbc1d10b	0.07	-0.06	-0.01	0	-0.1	-0.01	-0.18	0.06
Zfp638	-0.16	0.1	-0.22	-0.12	0.02	-0.05	-0.25	-0.01
Rps28	0.14	-0.06	0.08	-0.06	0.02	-0.19	0.02	-0.06
Cct4	0.02	-0.06	-0.07	-0.14	-0.15	-0.17	0.11	0
Emc2	0.12	0.1	0.02	-0.05	0.13	0.01	0.09	0.01
Hbb.b2	0.59	-0.06	1.15	1.08	0.04	-0.12	-0.73	0.16
Ghitm	0.09	-0.06	0.03	0.07	-0.05	0.04	0.04	0.16
Trip12	-0.01	0.1	-0.26	-0.06	-0.04	0.11	-0.05	-0.23
Nfs1	0.01	0.1	0.08	-0.07	-0.01	0.22	-0.04	-0.04
Sap18	-0.1	0.1	-0.17	-0.23	-0.03	0.12	-0.22	-0.01
Pigt	0	0.1	0.43	-0.06	0.2	0.18	0.04	0.06
Chd4	-0.1	0.1	-0.26	-0.17	0	0.11	-0.13	-0.09
Col6a1	-0.05	-0.06	-0.15	-0.02	-0.06	-0.05	-0.22	-0.08
Limch1	0.05	0.1	-0.01	-0.06	-0.12	0.05	-0.14	0.07
Ubap2l	-0.01	-0.06	0.06	-0.11	-0.04	-0.16	0.01	0.04
Cfh	0.48	0.1	-0.02	0.34	0.25	0.82	0.45	0.14
Pkp2	-0.22	0.1	-0.02	-0.14	0.14	0.11	-0.25	-0.13
Yy1	-0.12	0.1	-0.25	-0.22	0.02	0.01	-0.19	-0.06
Ruvbl1	-0.1	0.1	-0.18	-0.21	0.02	0.15	-0.16	-0.12
Actc1	-0.02	0.1	0.01	0	0.22	0.07	-0.04	-0.05
Ldha	0.24	0.1	0.02	0.2	-0.23	-0.32	-0.06	0.13
Mrpl55	0.37	-0.06	0.21	0.17	-0.04	-0.09	0.22	0
Qars	-0.02	-0.06	-0.13	-0.03	0.07	0.02	-0.1	-0.09
Myom2	-0.08	0.1	0.08	-0.02	0.09	0.23	-0.29	-0.01
Vwa1	0.06	0.1	0.14	0.19	0.07	0.15	0.15	0.04
Glyr1	-0.04	0.1	-0.2	-0.17	-0.01	0.02	-0.18	-0.03
Tcp1	0.08	-0.05	-0.08	-0.15	-0.11	-0.13	0.13	-0.07
Set	-0.13	-0.05	-0.11	-0.06	-0.12	-0.19	0.11	-0.07
Flnc	-0.04	0.1	0.01	-0.03	0.1	0.06	0.13	0
Lemd3	-0.09	-0.05	0.26	-0.18	-0.42	-0.24	-0.1	-0.06
Xpnpep3	0.02	-0.05	-0.03	0.02	0.03	-0.05	-0.12	0.04
Atp6v1c1	-0.22	0.1	0.23	-0.21	-0.02	0.02	-0.01	-0.2
Psmd6	-0.06	-0.05	-0.03	-0.16	0.05	0.05	0.09	-0.19
Phb2	0.24	-0.05	0.17	0.07	-0.1	-0.03	0.39	0.16
Srsf10	-0.09	0.1	-0.08	-0.16	0.07	0.01	-0.06	0.01
Zmynd8	0.62	-0.05	-0.02	-0.04	-0.01	-0.18	-0.33	0.08
Slc9a3r2	-0.03	0.1	-0.12	-0.11	0.06	0.02	-0.12	0.02
Rpl15	-0.07	0.1	-0.04	-0.11	-0.01	-0.03	-0.02	-0.03
Gng12	-0.03	-0.05	0.24	0.04	-0.21	-0.11	0.23	0.04
Poldip3	0	0.1	-0.18	-0.3	0.02	0.04	-0.03	-0.15
Hsp90ab1	0.06	0.1	0.07	0.02	-0.07	-0.2	0.3	-0.17
Bcap29	-0.08	0.1	-0.12	0.05	0.03	-0.07	-0.14	-0.03
Cpsf3	-0.16	0.1	-0.24	-0.03	0.03	-0.02	-0.04	-0.04
Rack1	0.05	0.1	0.32	0.13	0.01	-0.34	0.19	0.02
Abi3bp	-0.07	0.1	0.04	0.01	-0.17	-0.23	-0.2	0.23
Cdc73	-0.22	0.1	-0.22	-0.09	0	0.02	-0.14	-0.08
Gyg	0.22	-0.05	0.15	0.3	0.29	-0.35	0.35	-0.27
Lipt1	0.09	-0.05	-0.1	0.04	0.15	0.08	0.05	-0.03
Rpl13	-0.04	0.1	-0.03	-0.11	0.07	-0.04	0.04	-0.07
Uqcrc2	0.2	-0.05	0.58	0.56	0.01	-0.27	0.89	-0.23
Mybbp1a	-0.09	0.1	-0.2	-0.2	0.07	0.24	-0.14	-0.12
Lpl	-0.06	-0.05	0.1	-0.14	-0.05	-0.07	-0.04	-0.19
Cwc15	-0.1	0.1	-0.08	-0.19	0.07	0.12	-0.28	-0.02
Cs	0.17	0.1	0.16	0.74	0.11	-0.57	0.08	-0.45
Ppif	0.31	0.1	0.36	0.86	0.28	-0.81	-0.28	-0.09
Dlat	0.2	-0.05	0.37	0.33	-0.03	-0.1	0.83	-0.09
Snrpa1	-0.11	0.1	-0.16	-0.17	0	0.11	-0.12	-0.01
Mical3	0.07	0.1	0.08	0.34	0.06	0.05	0.44	-0.07
CEFIP	-0.18	-0.05	-0.02	-0.18	0.05	-0.03	-0.01	-0.1
Rpl31	-0.05	0.1	-0.03	-0.1	-0.02	-0.03	0.04	-0.06
Fh	0.17	0.1	-0.12	0.24	-0.18	-0.32	-0.04	0.36
Nop16	-0.24	-0.05	-0.16	-0.2	-0.2	0.03	-0.21	-0.14
Matr3	-0.03	0.1	-0.15	-0.25	0.07	0.04	-0.22	0.02
Epb41	0.14	0.1	0.04	0.03	-0.19	-0.09	-0.03	0.25
Psmd3	-0.01	-0.05	-0.11	-0.1	0.09	-0.13	0.06	-0.12
Emc1	0.01	0.1	0.06	-0.01	0.07	0	-0.08	-0.03
Eif3c	0.01	-0.05	0.05	-0.05	-0.17	-0.2	0.02	-0.01
Dock1	0.02	-0.05	-0.11	0.04	-0.04	0.13	-0.05	-0.01
Ank2.2	0.09	0.1	0.08	-0.13	0.06	0.1	-0.43	0.01
Acbd5	-0.16	0.1	0.07	-0.1	0.31	0.14	-0.29	-0.07
Uqcrb	0.24	-0.05	0.71	0.62	0.07	-0.29	1.17	-0.26
Xirp1	0.04	0.1	0.11	0.03	0.07	0.17	0.67	-0.02
Puf60	-0.01	-0.05	-0.11	-0.06	0.02	0.03	-0.09	0.01
Sh2d4a	-0.22	-0.05	-0.12	0.24	0.4	0.12	0.11	0.1
Actr3	0.2	-0.05	-0.01	0.26	-0.07	-0.11	0.11	-0.06
Ctsd	0.02	0.1	0.21	0.07	-0.1	0.25	0.17	0.03
Mrpl49	0.18	-0.05	0.03	0.2	-0.16	0.03	0.17	0.17
Rbm8a	-0.1	-0.05	-0.06	-0.21	0.04	0.07	-0.02	0.03
Banf1	-0.13	0.1	-0.29	-0.13	-0.01	0.09	-0.02	0.13
Chmp1b1	0.04	-0.05	-0.19	0.19	-0.09	-0.07	-0.01	-0.04
Arid1a	-0.08	0.09	-0.11	-0.27	0.08	0.04	-0.17	-0.18
Gm20425	-0.08	-0.05	0.08	-0.09	-0.17	0.06	-0.13	0.04
Clic4	0.14	0.09	-0.08	0.22	0.02	-0.02	0.05	0.05
Syne2	-0.02	0.09	-0.11	-0.08	-0.06	0.07	-0.27	-0.01
Acot2	0.04	-0.05	-0.07	0.19	-0.03	-0.29	-0.05	0.44
Cmya5.1	-0.23	0.09	-0.29	0.32	0.12	-0.05	0.3	-0.04
Wars2	-0.04	-0.05	0.01	0.3	-0.1	0.3	-0.01	0.1
Myl9	0.15	0.09	-0.13	0.13	-0.23	-0.29	0	-0.13
Gsk3a	0.25	-0.05	0.09	0.05	0.18	0.03	-0.22	-0.02
Tgm2	0.03	-0.05	-0.04	0.13	-0.2	0.02	0.04	0.07
Nup58	-0.14	-0.05	0.13	-0.11	0.02	0.04	-0.17	0.02
Mfap4	0.13	-0.05	0.06	-0.08	-0.6	-0.72	-0.14	0.17
Ctnna3	-0.09	0.09	-0.03	-0.14	0.15	0.06	-0.49	-0.04
Ech1	0.2	0.09	0.1	0.03	-0.12	-0.43	-0.04	0.16
Fubp1	-0.15	-0.05	-0.09	-0.09	0.08	-0.11	-0.23	-0.06
NA..2	-0.07	-0.05	0	-0.34	0.13	0.14	-0.15	0.07
Snf8	0.09	-0.05	-0.01	-0.09	0.02	-0.09	-0.66	-0.08
Actn1	0.09	-0.05	0.04	0.01	-0.01	-0.1	0.04	0.1
Ap2m1	0.08	-0.05	0.01	-0.1	-0.09	0.01	0.02	-0.03
Rpl14	-0.03	0.09	0.06	-0.17	0.05	-0.01	-0.12	-0.08
Pex11b	-0.02	0.09	0.1	0	0.17	0.01	-0.15	-0.02
Hist1h1c	-0.19	0.09	-0.3	-0.44	0.03	0.06	-0.29	-0.09
